drug	drug_class
Vinflunine	vinca_alkaloid
Vinorelbine|Dihydroxydeoxynorvinkaleukoblastine	vinca_alkaloid
Vismodegib|GDC-0449|Erivedge	SMO_inhibitor,first_generation
Vonlerolizumab|MOXR0916|Pogalizumab|RG 7888|RG-7888|RG7888|RO7021608	anti-OX40_agnostic_monoclonal_antibody
Vorasidenib|AG 881|AG-881|AG881	IDH1/IDH2_mutant_selective_inhibitor
Vorinostat|SAHA|Suberanilohydroxamic Acid|Zolinza|L-001079038|MSK-390|Suberoylanilide Hydroxamic Acid	HDAC_inhibitor
CAPOX|XELOX	capecitabine + oxaliplatin
XNW7201	PORCN_inhibitor
Xentuzumab|BI 836845	anti-IGF_ligand_antibody
XmAb24306|RO 7310729|RO-7310729|RO7310729|XmAb 24306|XmAb-24306	IL15/IL15R_Fc-fusion_protein
Zalifrelimab|AGEN-1884|AGEN1884	anti-CTLA-4_monoclonal_antibody
Zanubrutinib|BGB-3111|BTK-InhB|Brukinsa	BTK_inhibitor
Zolbetuximab|Claudiximab|IMAB 362|IMAB-362|IMAB362	anti-Claudin_18.2_antibody
Zoledronic Acid|Zometa|CGP 42446|CGP42446A|NDC-Zoledronate|Reclast|ZOL 446	bisphosphonate
bacTRL-IL-12|Bifidobacterium longum Encoding IL-12|Genetically Modified IL-12 Transgene-encoding Bifidobacterium longum|Genetically Modified Interleukin-12 Transgene-encoding Bifidobacterium longum	bifidobacterium-delivered_IL-12
canakinumab	anti-IL-1beta_antibody
rHuPH20|Chemophase|Hyaluronidase Recombinant Human|Hyaluronidase-oysk|Hylenex|Recombinant Human Hyaluronidase	recombinant_human_hyaluronidase
radiotherapy	radiotherapy
MK-1697	unknown_drug_class
INCB099280	unknown_drug_class
Pasireotide|SOM230	somatostatin_analog
Octreotide	somatostatin_analog
Lanreotide	somatostatin_analog
Simvastatin	HMG-CoA_reductase_inhibitor
Luminespib|AUY922	HSP90_inhibitor
delta-9-tetrahydrocannabinol	tetrahydrocannabinol
Ibudilast	PDE4_inhibitor
T3011	oncolytic_virus
R-Propranolol	beta-adrenergic_blocker
VG161	oncolytic_virus
AMV002	HPV_DNA_vaccine
ALMB-0168	anti-Cx43_agonist_antibody
ST-617	unknown_drug_class
Temazepam	benzodiazepam
Melatonin	melatonin
EO1001	EGFR_inhibitor; ERBB2_inhibitor; ERBB4_inhibitor
GQ1001	anti-ERBB2_antibody-drug_conjugate
Bacillus Calmette-Guérin|BCG	BCG_vaccine
AK117	anti-CD47_monoclonal_antibody
CN1	unknown_drug_class
QBS10072S	amino_acid_analogue,LAT1_targeting
IMU-201	B_cell_immunotherapy
Vistusertib|AZD2014	MTORC1/MTORC2_inhibitor
AZD8055	MTORC1/MTORC2_inhibitor
Amatuximab	anti-MSLN_monoclonal_antibody
Blinatumomab	anti-CD19/CD3_BiTE_antibody
Fedratinib	JAK2-selective_inhibitor
GSK2256098	FAK_inhibitor
Gemtuzumab Ozogamicin	anti-CD33_antibody-drug_conjugate
Hyaluronidase-fihj	hyaluronidase
Isatuximab|Isatuximab-irfc	anti-CD38_monoclonal_antibody
KU-55933	ATM_inhibitor
MK-6482	HIF2a_inhibitor
Medroxyprogesterone Acetate	progestogen_analogue
Nirogacestat|PF-03084014	gamma_secretase_inhibitor
Polatuzumab vedotin|Polatuzumab vedotin-piiq	anti-CD79b_antibody-drug_conjugate
Tafasitamab	anti-CD19_monoclonal_antibody
Tagraxofusp|Tagraxofusp-erzs	IL-3_diphtheria_toxin_fusion_protein
VE-821	ATR_inhibitor
ABBV-075	BET_inhibitor
JQ1	BET_inhibitor
GSK126	EZH2_inhibitor
PF-477736	CHEK1_inhibitor
CCT128930	AKT2_inhibitor
Ulixertinib|BVD-523	ERK_inhibitor
EPZ011989	EZH2_inhibitor
S63845	MCL1_inhibitor
Panobinostat	pan-HDAC_inhibitor
NRR2Mab	anti-NOTCH2_monoclonal_antibody
Glembatumumab Vedotin	anti-GPNMB_antibody-drug_conjugate
Onvansertib	PLK1_inhibitor
BLYG8824A	unknown_drug_class
GDC-6036	KRAS_G12C_inhibitor
AMG 650	unknown_drug_class
Pevonedistat	NEDD8_inhibitor
ZN-C5	selective_estrogen_receptor_degrader
Ustekinumab	anti-IL-23_monoclonal_antibody; anti-IL-12_monoclonal_antibody
Tildrakizumab	anti-IL-23_monoclonal_antibody
Trilaciclib	CDK4/6_inhibitor
Naxitamab	anti-GD2_monoclonal_antibody
BGB-10188	PI3K_delta_inhibitor
MG010	CRAF_inhibitor
RMC-4630|SAR442720	SHP2_inhibitor
SHP099	SHP2_inhibitor
BGB659	RAF_inhibitor,type_2
LY3009120	RAF_inhibitor,type_2
MK2206	AKT_inhibitor
TAK632	RAF_inhibitor,type_2
Surufatinib|HMPL-012	VEGFR_inhibitor; FGFR1_inhibitor; CSF1R_inhibitor
LY3405105	CDK7_inhibitor
SNS-032	CDK2_inhibitor
Apatinib	VEGF2_inhibitor
Necitumumab	anti-EGFR_monoclonal_antibody
PF-06804103	anti-ERBB2_antibody-drug_conjugate
SBT6050	anti-ERBB2_antibody-drug_conjugate
mRNA-5671|mRNA-5671/V941|V941	mRNA-derived_KRAS-targeted_vaccine
GS493	SHP2_inhibitor
TPX0022|TPX-0022	MET/SRC/CSF1R_inhibitor
MRTX849|Adagrasib	KRAS_G12C_inhibitor
Fadraciclib|CYC065	CDK2/CDK9_inhibitor
Seribantumab|MM-121	anti-ERBB3_monoclonal_antibody
CH5126766|VS-6766|RO5126766	RAF/MEK_inhibitor
tavokinogene telseplasmid	DNA_plasmid_encoding_IL-12
ALKS 4230|ALKS4230	IL-2_fusion_protein
Gedatolisib	pan-PI3K/MTORC1/MTORC2_inhibitor
ASN003	PI3K_alpha_inhibitor
IPI-549	PI3K_gamma_inhibitor
Idelalisib	PI3K_delta_inhibitor
Duvelisib|IPI-145	PI3K_delta_inhibitor
AMG319	PI3K_delta_inhibitor
TPX0046|TPX-0046	RET/SRC_inhibitor; RET_inhibitor
Agerafenib|RXDX-105|RXDX105	BRAF_inhibitor; BRAF_V600E_inhibitor; RET_inhibitor
Pictilisib	pan-PI3K_inhibitor
RMC-4550	SHP2_inhibitor
eFT508	MNK_inhibitor
II-B08	PTP_inhibitor
FPI-1175	IGF1R-radionucleotide_conjugate
FPI-1547	IGF1R-radionucleotide_conjugate
SHR-A1811	anti-ERBB2_antibody-drug_conjugate
Darolutamide	antiandrogen,nonsteroidal,second_generation
AZD4573	CDK9_inhibitor
Mirdametinib|PD0325901|PD 901|PD-901	MEK_inhibitor
ERAS-601	SHP2_inhibitor
Sasanlimab	anti-PD-1_monoclonal_antibody
ARQ 751|ARQ751	pan-AKT_inhibitor
E7777	cytotoxic_fusion_protein,diphtheria-IL-2
Mosunetuzumab|BTCT4465A	anti-CD20/CD3_BiTE_antibody
Rigosertib|ON-01910	PLK1_inhibitor
MIK665|S-64315	MCL1_inhibitor
IMG-7289	LSD1_inhibitor
Pracinostat	HDAC_inhibitor
AMG-673|AMG 673	anti-CD33/CD3_BiTE_antibody
AMG-701|AMG 701	anti-BCMA_BiTE_antibody
Tabelecleucel	allogeneic_T-cell_immunotherapy
MAX-40279	FLT3_inhibitor; FGFR3_inhibitor
Glasdegib	SMO_inhibitor
AMG-424|AMG 424	anti-CD38/CD3_BiTE_antibody
BFCR4350A	anti-FcRH5/CD3_BiTE_antibody
Almirall|ASLAN003	DHODH_inhibitor
RO7082859	bispecific_CD20/CD3_monoclonal_antibody
MEDI2228	anti-BCMA-immunoconjugate
Devimistat|CPI-613	lipoate_analog
AMG-427|AMG 427	bispecific_FLT3/CD3_monoclonal_antibody
Umbralisib	PI3K_delta_inhibitor
Uproleselan|GMI-1271	E-sel_antagonist
Ublituximab	anti-CD20_monoclonal_antibody
Inotuzumab ozogamicin	anti-CD22_antibody-drug_conjugate
Cobomarsen	miR-155_oligonucleotide_inhibitor
LOXO-305	BTK_inhibitor
R-CHOP	Rituximab + Cyclophosphamide + Doxorubicin + Vincristine + Prednisolone
S65487	BCL2_inhibitor
TG-1801	bispecific-CD47/CD19_monoclonal_antibody
AMG-420|AMG 420	anti-BCMA_BiTE_antibody
REGN1979	anti-CD20/CD3_BiTE_antibody
JNJ-67856633	MALT1_inhibitor
MBG453	anti-TIM3_monoclonal_antibody
CPI-818	ITK_inhibitor
YTB323	CD19-specific_CAR-T_cells
Acalabrutinib	BTK_inhibitor
Cusatuzumab	anti-CD70_monoclonal_antibody
Isatuximab|SAR650984	anti-CD38_monoclonal_antibody
AFM13	anti-CD30/CD16A_BiTE_antibody
WVT078	unknown_drug_class
Momelotinib	JAK2_inhibitor; JAK1/JAK2_inhibitor
CTX120	BCMA-specific_CAR-T_cells
EMB-02	bispecific_PD-1/LAG3_antibody
YH002	anti-OX40_agnostic_monoclonal_antibody
XMT-1536	anti-NaPi2b_antibody-drug_conjugate
BI 894999|BI-894999	BET_inhibitor
Eprenetapopt|APR-246	mutant_p53_reactivator
