trial_id	trialacronym	phase	recruitmentstatus	recruitmentstate	approvaldate	actualstartdate	actualenddate	drug_list	drug_classes	combo_list	combo_classes	secondaryid	studytitle	healthcondition	postcode	ext_weblink
NCT04428151	LEAP-009	Phase 2		NSW, QLD, SA, VIC	2020-06-11	2020-08-06		Capecitabine; Capecitabine + Cetuximab + Docetaxel + Paclitaxel; Cetuximab; Docetaxel; Lenvatinib; Lenvatinib + Pembrolizumab; Paclitaxel; Pembrolizumab	anti-EGFR_monoclonal_antibody + fluoropyrimidine + taxane; fluoropyrimidine; anti-PD-1_monoclonal_antibody; taxane; VEGF_inhibitor + anti-PD-1_monoclonal_antibody; VEGF_inhibitor; anti-EGFR_monoclonal_antibody	Capecitabine + Cetuximab + Docetaxel + Paclitaxel; Lenvatinib; Lenvatinib + Pembrolizumab	VEGF_inhibitor; VEGF_inhibitor + anti-PD-1_monoclonal_antibody; anti-EGFR_monoclonal_antibody + fluoropyrimidine + taxane	LEAP-009  7902-009	A Phase 2, Randomized, Open-label Three-arm Clinical Study to Evaluate the Safety and Efficacy of Lenvatinib (E7080/MK-7902) in Combination With Pembrolizumab (MK-3475) Versus Standard of Care Chemotherapy and Lenvatinib Monotherapy in Participants With Recurrent/Metastatic Head and Neck Squamous Cell Carcinoma (R/M HNSCC) That Have Progressed After Platinum Therapy and Immunotherapy (PD-1/PD-L1 Inhibitors) (LEAP-009)	Squamous Cell Carcinoma of Head and Neck	2148 - Sydney; 4814 - Douglas; 3168 - Clayton; 4120 - Greenslopes; 5000 - Adelaide; 2444 - Port Macquarie	https://clinicaltrials.gov/ct2/show/NCT04428151
NCT04428333	INDUCE-4	Phase 3		NSW, QLD, VIC	2020-06-11	2020-08-12		Feladilimab; Feladilimab + Fluorouracil + Pembrolizumab; Fluorouracil; Fluorouracil + Pembrolizumab; GSK3359609; Pembrolizumab; Placebo	placebo; anti-ICOS_agonistic_antibody; anti-PD-1_monoclonal_antibody + fluoropyrimidine; Fluorouracil; fluoropyrimidine; anti-PD-1_monoclonal_antibody; anti-ICOS_agonistic_antibody + anti-PD-1_monoclonal_antibody + fluoropyrimidine	Feladilimab + Fluorouracil + Pembrolizumab; Fluorouracil + Pembrolizumab; GSK3359609; Placebo	anti-ICOS_agonistic_antibody + anti-PD-1_monoclonal_antibody + fluoropyrimidine; anti-PD-1_monoclonal_antibody + fluoropyrimidine; Fluorouracil; placebo	2019-003981-42  209227	A Randomized, Double-Blind, Adaptive, Phase II/III Study of GSK3359609 in Combination With Pembrolizumab and 5FU-Platinum Chemotherapy Versus Placebo in Combination With Pembrolizumab Plus 5FU-Platinum Chemotherapy for First-Line Treatment of Recurrent/Metastatic Head and Neck Squamous Cell Carcinoma	Neoplasms, Head and Neck	4102 - Woolangabba; 3000 - Melbourne; 3084 - Heidelberg; 2148 - Blacktown	https://clinicaltrials.gov/ct2/show/NCT04428333
NCT04429542	KEYNOTE-E28--BCA101X1101	Phase 1		NSW, VIC	2020-06-12	2020-06-01		BCA101; BCA101 + Pembrolizumab; Pembrolizumab	anti-PD-1_monoclonal_antibody + bifunctional_EGFR/TGF-beta_fusion_protein; anti-PD-1_monoclonal_antibody; bifunctional_EGFR/TGF-beta_fusion_protein	BCA101; BCA101 + Pembrolizumab	anti-PD-1_monoclonal_antibody + bifunctional_EGFR/TGF-beta_fusion_protein; bifunctional_EGFR/TGF-beta_fusion_protein	KEYNOTE-E28  BCA101X1101	First-in-Human, Phase 1/1b, Open-label, Multicenter Study of Bifunctional EGFR/TGFß Fusion Protein BCA101 Monotherapy and in Combination Therapy in Patients With EGFR-Driven Advanced Solid Tumors	Epithelial Ovarian Cancer; Squamous Cell Carcinoma of Anal Canal; Pancreas Cancer; Colorectal Cancer; EGFR Amplification; Squamous Cell Carcinoma of the Lung; Squamous Cell Carcinoma of Head and Neck; Head and Neck Squamous Cell Carcinoma; Carcinoma, Squamous Cell; Head and Neck Neoplasms; Cutaneous Squamous Cell Carcinoma	2298 - Waratah; 3000 - Melbourne; 3084 - Heidelberg	https://clinicaltrials.gov/ct2/show/NCT04429542
NCT04432207	IMU.201.101	Phase 1		NSW, VIC	2020-06-16	2020-11-30		Atezolizumab; Atezolizumab + IMU-201; IMU-201	B_cell_immunotherapy; anti-PD-L1_monoclonal_antibody; B_cell_immunotherapy + anti-PD-L1_monoclonal_antibody	Atezolizumab + IMU-201; IMU-201	B_cell_immunotherapy; B_cell_immunotherapy + anti-PD-L1_monoclonal_antibody	IMU.201.101	An Open Label, Multi-Center, Dose Escalation/Expansion, Phase 1/1b Study of IMU-201, a B-Cell Immunotherapy As Monotherapy or in Combination with Atezolizumab with or Without Chemotherapy, in Adults with Non- Small Cell Lung Cancer (IMPrinter)	Squamous Non-small-cell Lung Cancer; Non Small Cell Lung Cancer; Large Cell Carcinoma Lung; Non-small Cell Lung Cancer Stage IV; Adenocarcinoma Lung; Non Small Cell Lung Cancer Stage IIIB	3000 - Melbourne; 2050 - Camperdown; 2109 - Macquarie	https://clinicaltrials.gov/ct2/show/NCT04432207
NCT04434482	IMP4297-106	Phase 1		NSW, VIC	2020-06-17	2020-08-07		Senaparib; Senaparib + Temozolomide; Temozolomide	alkylating_agent; PARP_inhibitor + alkylating_agent; PARP_inhibitor	Senaparib + Temozolomide	PARP_inhibitor + alkylating_agent	IMP4297-106	A Phase Ib/II, Open-Label, Multi-Center, Dose Escalation and Expansion Study to Evaluate Safety, Tolerability, Pharmacokinetics, and Anti-tumor Activity of IMP4297 in Combination With Temozolomide in Patients With Advanced Solid Tumors and Small Cell Lung Cancer	Small Cell Lung Cancer; Advanced Solid Tumours	2640 - Albury; 3199 - Frankston; 2800 - Orange; 2148 - Blacktown	https://clinicaltrials.gov/ct2/show/NCT04434482
NCT04438083	CRSP-ONC-003	Phase 1		VIC	2020-06-18	2020-06-16		CTX130	allogeneic_CAR-T-cell_therapy,CD70-targeting	CTX130	allogeneic_CAR-T-cell_therapy,CD70-targeting	CRSP-ONC-003	A Phase 1 Dose Escalation and Cohort Expansion Study of the Safety and Efficacy of Allogeneic CRISPR-Cas9-Engineered T Cells (CTX130) in Subjects With Advanced, Relapsed or Refractory Renal Cell Carcinoma With Clear Cell Differentiation	Renal Cell Carcinoma	3000 - Melbourne	https://clinicaltrials.gov/ct2/show/NCT04438083
NCT04446117	CONTACT-02	Phase 3		ACT, NSW, QLD, SA, TAS, VIC	2020-06-24	2020-06-30		Abiraterone; Abiraterone + Enzalutamide + Prednisone; Atezolizumab; Atezolizumab + Cabozantinib; Cabozantinib; Enzalutamide; Prednisone	AXL/MET/RET/VEGFR/ROS1/KIT_inhibitor + anti-PD-L1_monoclonal_antibody; CYP17A1_inhibitor; anti-PD-L1_monoclonal_antibody; RET_inhibitor; CYP17A1_inhibitor + antiandrogen,nonsteroidal,second_generation + glucocorticoid; ROS1_inhibitor; AXL_inhibitor + anti-PD-L1_monoclonal_antibody; AXL_inhibitor; VEGFR2_inhibitor + anti-PD-L1_monoclonal_antibody; glucocorticoid; RET_inhibitor + anti-PD-L1_monoclonal_antibody; KIT_inhibitor; antiandrogen,nonsteroidal,second_generation; VEGFR2_inhibitor; MET_inhibitor,type_2 + anti-PD-L1_monoclonal_antibody; AXL/MET/RET/VEGFR/ROS1/KIT_inhibitor; KIT_inhibitor + anti-PD-L1_monoclonal_antibody; ROS1_inhibitor + anti-PD-L1_monoclonal_antibody; MET_inhibitor,type_2	Abiraterone + Enzalutamide + Prednisone; Atezolizumab + Cabozantinib	AXL/MET/RET/VEGFR/ROS1/KIT_inhibitor + anti-PD-L1_monoclonal_antibody; AXL_inhibitor + anti-PD-L1_monoclonal_antibody; CYP17A1_inhibitor + antiandrogen,nonsteroidal,second_generation + glucocorticoid; KIT_inhibitor + anti-PD-L1_monoclonal_antibody; MET_inhibitor,type_2 + anti-PD-L1_monoclonal_antibody; RET_inhibitor + anti-PD-L1_monoclonal_antibody; ROS1_inhibitor + anti-PD-L1_monoclonal_antibody; VEGFR2_inhibitor + anti-PD-L1_monoclonal_antibody	XL184-315	A Phase 3, Randomized, Open-Label, Controlled Study of Cabozantinib (XL184) in Combination With Atezolizumab vs Second Novel Hormonal Therapy (NHT) in Subjects With Metastatic Castration-Resistant Prostate Cancer	Metastatic Prostate Cancer; Prostate Adenocarcinoma	2605 - Garran; 7250 - Launceston; 3021 - Saint Albans; 3199 - Frankston; 3220 - Geelong; 2065 - Saint Leonards; 3000 - Melbourne; 3350 - Ballarat; 4032 - Chermside; 2500 - Wollongong; 5000 - Adelaide; 2444 - Port Macquarie; 3128 - Box Hill; 2109 - Sydney	https://clinicaltrials.gov/ct2/show/NCT04446117
NCT04446260	SHR-A1811-I-101	Phase 1		NSW, SA, VIC	2020-06-24	2020-09-07		SHR-A1811	anti-ERBB2_antibody-drug_conjugate	SHR-A1811	anti-ERBB2_antibody-drug_conjugate	SHR-A1811-I-101	A Phase 1 Multi-Country, Multi-Center, Open-Label Study to Evaluate the Safety, Tolerability, Pharmacokinetics and Efficacy of SHR-A1811 in HER2 Expressing or Mutated Advanced Malignant Solid Tumor Subjects	Advanced Solid Tumors	3199 - Frankston; 3004 - Melbourne; 5042 - Bedford Park; 2109 - Macquarie	https://clinicaltrials.gov/ct2/show/NCT04446260
NCT04447118	PYRAMID-1	Phase 3		NSW, SA, Saint Leonard, WA	2020-06-25	2020-09-11		Docetaxel; Pyrotinib	ERBB2_inhibitor,second_generation; taxane; EGFR_inhibitor,exon_20_selective	Docetaxel; Pyrotinib	EGFR_inhibitor,exon_20_selective; ERBB2_inhibitor,second_generation; taxane	HR-BLTN-III-NSCLC	A Phase 3, Randomized, Open-label, Multicenter Study of the Efficacy and Safety of Pyrotinib Versus Docetaxel in Patients With Advanced Non-squamous Non-small Cell Lung Cancer (NSCLC) Harboring a HER2 Exon 20 Mutation Who Progressed on or After Treatment With Platinum Based Chemotherapy	Non-squamous NSCLC; HER2 Exon 20 Mutation	- St Leonards; - North Adelaide; - Albury; - Nedlands; - Fitzroy	https://clinicaltrials.gov/ct2/show/NCT04447118
NCT04449874	2020-000084-22--GO42144	Phase 1		NSW, NZ, VIC, WA	2020-06-29	2020-07-29		Atezolizumab; Atezolizumab + Divarasib; Bevacizumab; Bevacizumab + Divarasib; Cetuximab; Cetuximab + Divarasib; Divarasib; Divarasib + Erlotinib; Divarasib + Inavolisib; Divarasib + RLY-1971; Erlotinib; Inavolisib; RLY-1971	KRAS_G12C_inhibitor + anti-PD-L1_monoclonal_antibody; SHP2_inhibitor; anti-PD-L1_monoclonal_antibody; KRAS_G12C_inhibitor; KRAS_G12C_inhibitor + anti-VEGF_monoclonal_antibody; anti-VEGF_monoclonal_antibody; KRAS_G12C_inhibitor + SHP2_inhibitor; KRAS_G12C_inhibitor + anti-EGFR_monoclonal_antibody; EGFR_inhibitor,first_generation; KRAS_G12C_inhibitor + PI3K_alpha_inhibitor; PI3K_alpha_inhibitor; anti-EGFR_monoclonal_antibody; EGFR_inhibitor,first_generation + KRAS_G12C_inhibitor	Atezolizumab + Divarasib; Bevacizumab + Divarasib; Cetuximab + Divarasib; Divarasib; Divarasib + Erlotinib; Divarasib + Inavolisib; Divarasib + RLY-1971	EGFR_inhibitor,first_generation + KRAS_G12C_inhibitor; KRAS_G12C_inhibitor; KRAS_G12C_inhibitor + PI3K_alpha_inhibitor; KRAS_G12C_inhibitor + SHP2_inhibitor; KRAS_G12C_inhibitor + anti-EGFR_monoclonal_antibody; KRAS_G12C_inhibitor + anti-PD-L1_monoclonal_antibody; KRAS_G12C_inhibitor + anti-VEGF_monoclonal_antibody	2020-000084-22  GO42144	A Phase Ia/Ib Dose-Escalation and Dose-Expansion Study Evaluating the Safety, Pharmacokinetics, and Activity of GDC-6036 as a Single Agent and in Combination With Other Anti-cancer Therapies in Patients With Advanced or Metastatic Solid Tumors With a KRAS G12C Mutation	Colorectal Cancer; Advanced Solid Tumors; Non-Small Cell Lung Cancer	3000 - Melbourne; 2080 - Mount Kuring-gai; 2010 - Darlinghurst; Auckland; 6009 - Nedlands; Christchurch; 3004 - Melbourne	https://clinicaltrials.gov/ct2/show/NCT04449874
NCT04450901	YBL006C101	Phase 1		NSW	2020-06-30	2020-07-01		YBL006	anti-PD-1_monoclonal_antibody	YBL006	anti-PD-1_monoclonal_antibody	YBL006C101	A Phase 1/2a, Open-Label, Multicenter, Single Arm, Dose Escalation/Dose Expansion Study of YBL-006 in Patients With Advanced Solid Tumors	Advanced Solid Tumors	2109 - Macquarie	https://clinicaltrials.gov/ct2/show/NCT04450901
NCT04456699	MK-7339-003--7339-003	Phase 3		NSW, QLD, SA, VIC	2020-07-02	2020-08-19		Bevacizumab; Bevacizumab + Capecitabine + Fluorouracil + Leucovorin; Bevacizumab + Olaparib; Capecitabine; Fluorouracil; Leucovorin; Olaparib	PARP_inhibitor + anti-VEGF_monoclonal_antibody; Fluorouracil; fluoropyrimidine; anti-VEGF_monoclonal_antibody + fluoropyrimidine + folinic_acid; folinic_acid; anti-VEGF_monoclonal_antibody; PARP_inhibitor	Bevacizumab + Capecitabine + Fluorouracil + Leucovorin; Bevacizumab + Olaparib; Olaparib	PARP_inhibitor; PARP_inhibitor + anti-VEGF_monoclonal_antibody; anti-VEGF_monoclonal_antibody + fluoropyrimidine + folinic_acid; Fluorouracil	MK-7339-003  7339-003	A Phase 3 Randomized, Open-label Study to Evaluate the Efficacy and Safety of Olaparib Alone or in Combination With Bevacizumab Compared to Bevacizumab With a Fluoropyrimidine in Participants With Unresectable or Metastatic Colorectal Cancer Who Have Not Progressed Following First-line Induction (LYNK-003)	Metastatic Colorectal Cancer	4029 - Herston; 5011 - Woodville South; 2170 - Liverpool; 2217 - Kogarah; 3168 - Clayton; 3199 - Frankston	https://clinicaltrials.gov/ct2/show/NCT04456699
NCT04460456	SBT6050-101	Phase 1		NSW, VIC, WA	2020-07-07	2020-07-27		Cemiplimab; Cemiplimab + SBT6050; Pembrolizumab; Pembrolizumab + SBT6050; SBT6050	anti-ERBB2_antibody-drug_conjugate + anti-PD-1_monoclonal_antibody; anti-PD-1_monoclonal_antibody; anti-ERBB2_antibody-drug_conjugate	Cemiplimab + SBT6050; Pembrolizumab + SBT6050; SBT6050	anti-ERBB2_antibody-drug_conjugate; anti-ERBB2_antibody-drug_conjugate + anti-PD-1_monoclonal_antibody	SBT6050-101	A Phase 1/1B, Open-Label, Dose Escalation and Expansion Study of SBT6050 Alone and in Combination With PD-1 Inhibitors in Subjects With Advanced Solid Tumors Expressing HER2	HER2 Positive Solid Tumors	6009 - Nedlands; 2109 - Sydney; 3000 - Melbourne	https://clinicaltrials.gov/ct2/show/NCT04460456
NCT04464226	2019-003618-15--20321	Phase 3		SA	2020-07-09	2020-10-20		Darolutamide	antiandrogen,nonsteroidal,second_generation	Darolutamide	antiandrogen,nonsteroidal,second_generation	2019-003618-15  20321	An Open-label, Single Arm, Roll-over Study to Provide Continued Treatment With Darolutamide in Participants Who Were Enrolled in Previous Bayer Sponsored Studies	Cancer	5037 - Kurralta Park	https://clinicaltrials.gov/ct2/show/NCT04464226
NCT04472429	2020-000826-24--INCMGA-0012-303	Phase 3		QLD, SA, VIC	2020-07-15	2021-01-12		Carboplatin; Carboplatin + Paclitaxel; Carboplatin + Paclitaxel + Retifanlimab; Paclitaxel; Placebo; Retifanlimab	placebo; platinum-based_antineoplastic_agent + taxane; anti-PD-1_monoclonal_antibody + platinum-based_antineoplastic_agent + taxane; anti-PD-1_monoclonal_antibody; taxane; platinum-based_antineoplastic_agent	Carboplatin + Paclitaxel; Carboplatin + Paclitaxel + Retifanlimab; Placebo	anti-PD-1_monoclonal_antibody + platinum-based_antineoplastic_agent + taxane; platinum-based_antineoplastic_agent + taxane; placebo	2020-000826-24  INCMGA 0012-303	A Phase 3 Global, Multicenter, Double-Blind Randomized Study of Carboplatin-Paclitaxel With INCMGA00012 or Placebo in Participants With Inoperable Locally Recurrent or Metastatic Squamous Cell Carcinoma of the Anal Canal Not Previously Treated With Systemic Chemotherapy (POD1UM-303/InterAACT 2)	Squamous Cell Carcinoma of the Anal Canal	5042 - Bedford Park; 04102 - Woolloongabba; 03168 - Clayton	https://clinicaltrials.gov/ct2/show/NCT04472429
NCT04472650	BGB-Sitravatinib-101	Phase 1		WA	2020-07-15	2020-08-17		Sitravatinib	VEGFR_inhibitor; RET_inhibitor; KIT/PDGFR/RET/VEGFR_inhibitor; PDGFR_inhibitor; KIT_inhibitor	Sitravatinib	KIT/PDGFR/RET/VEGFR_inhibitor; KIT_inhibitor; PDGFR_inhibitor; RET_inhibitor; VEGFR_inhibitor	BGB-Sitravatinib-101	A Phase 1, Open-label, Single-dose, Randomized Crossover Study to Evaluate the Relative Bioavailability of Two Different Capsule Formulations of Sitravatinib in Healthy Subjects	Tumor	6009 - Nedlands	https://clinicaltrials.gov/ct2/show/NCT04472650
NCT04475523	CI-8993-101	Phase 1		VIC	2020-07-17	2020-09-22		CI-8993	anti-VISTA_monoclonal_antibody	CI-8993	anti-VISTA_monoclonal_antibody	CI-8993-101	Phase 1 Study of CI-8993 Anti-VISTA Antibody in Patients With Advanced Solid Tumor Malignancies	Solid Tumor	3199 - Frankston	https://clinicaltrials.gov/ct2/show/NCT04475523
NCT04478266	AMEERA-5	Phase 3		NSW, VIC, WA	2020-07-20	2020-10-14		Amcenestrant; Amcenestrant + Goserelin + Letrozole + Palbociclib; Goserelin; Letrozole; Palbociclib; Placebo	placebo; aromatase_inhibitor; CDK4/6_inhibitor; GnRH_analogue; selective_estrogen_receptor_degrader; CDK4/6_inhibitor + GnRH_analogue + aromatase_inhibitor + selective_estrogen_receptor_degrader	Amcenestrant + Goserelin + Letrozole + Palbociclib; Placebo	CDK4/6_inhibitor + GnRH_analogue + aromatase_inhibitor + selective_estrogen_receptor_degrader; placebo	2020-001824-33  EFC15935	A Randomized, Multicenter, Double-blind Phase 3 Study of Amcenestrant (SAR439859) Plus Palbociclib Versus Letrozole Plus Palbociclib for the Treatment of Patients With ER (+), HER2 (-) Breast Cancer Who Have Not Received Prior Systemic Anti-cancer Treatment for Advanced Disease	Breast Cancer	3121 - Richmond; 2031 - Randwick; 2109 - Macquarie Park; 2076 - Wahroonga; 6009 - Nedlands	https://clinicaltrials.gov/ct2/show/NCT04478266
NCT04481009	YH003002	Phase 1		WA	2020-07-22	2020-08-04		Gemcitabine; Gemcitabine + Nab-paclitaxel + Toripalimab + YH003; Nab-paclitaxel; Toripalimab; Toripalimab + YH003; YH003	antimetabolite; anti-OX40_agonistic_antibody + anti-PD-1_monoclonal_antibody; anti-OX40_agonistic_antibody; anti-PD-1_monoclonal_antibody; taxane; gemcitabine; anti-OX40_agonistic_antibody + anti-PD-1_monoclonal_antibody + antimetabolite + taxane	Gemcitabine + Nab-paclitaxel + Toripalimab + YH003; Toripalimab + YH003	anti-OX40_agonistic_antibody + anti-PD-1_monoclonal_antibody; anti-OX40_agonistic_antibody + anti-PD-1_monoclonal_antibody + antimetabolite + taxane; gemcitabine	YH003002	A Multicenter, Open-Label, Phase I/II Dose Escalation and Expansion Study to Evaluate the Safety, Tolerability, Efficacy and Pharmacokinetics of YH003 in Combination With Toripalimab (Anti-PD-1 mAb) in Subjects With Advanced Solid Tumors	Advanced Solid Tumors	6009 - Nedlands	https://clinicaltrials.gov/ct2/show/NCT04481009
NCT04493853	CAPItello-281	Phase 3		NSW, QLD	2020-07-30	2020-07-13		Abiraterone; Abiraterone + Capivasertib + Prednisolone + Prednisone; Abiraterone + Prednisolone + Prednisone; Capivasertib; Placebo; Prednisolone; Prednisone	placebo; CYP17A1_inhibitor; glucocorticoid; pan-AKT_inhibitor; CYP17A1_inhibitor + glucocorticoid + pan-AKT_inhibitor; CYP17A1_inhibitor + glucocorticoid	Abiraterone + Capivasertib + Prednisolone + Prednisone; Abiraterone + Prednisolone + Prednisone; Placebo	CYP17A1_inhibitor + glucocorticoid; CYP17A1_inhibitor + glucocorticoid + pan-AKT_inhibitor; placebo	2023-504998-20-00  D361BC00001	A Phase III Double-Blind, Randomised, Placebo-Controlled Study Assessing the Efficacy and Safety of Capivasertib+Abiraterone Versus Placebo+Abiraterone as Treatment for Patients With DeNovo Metastatic Hormone-Sensitive Prostate Cancer Characterised by PTEN Deficiency.	Hormone-Sensitive Prostate Cancer	2747 - Kingswood; 2010 - Darlinghurst; 4575 - Birtinya; 2800 - Orange; 4101 - South Brisbane	https://clinicaltrials.gov/ct2/show/NCT04493853
NCT04497844	AMPLITUDE	Phase 3		NSW, NZ, QLD, SA, TAS, VIC, WA	2020-08-04	2020-09-23		Abiraterone; Abiraterone + Niraparib + Prednisone; Niraparib; Niraparib + Prednisone; Placebo; Prednisone	placebo; PARP_inhibitor + glucocorticoid; CYP17A1_inhibitor; CYP17A1_inhibitor + PARP_inhibitor + glucocorticoid; glucocorticoid; PARP_inhibitor	Abiraterone + Niraparib + Prednisone; Niraparib + Prednisone; Placebo	CYP17A1_inhibitor + PARP_inhibitor + glucocorticoid; PARP_inhibitor + glucocorticoid; placebo	67652000PCR3002  CR108852	A Phase 3 Randomized, Placebo-controlled, Double-blind Study of Niraparib in Combination With Abiraterone Acetate and Prednisone Versus Abiraterone Acetate and Prednisone for the Treatment of Participants With Deleterious Germline or Somatic Homologous Recombination Repair (HRR) Gene-Mutated Metastatic Castration-Sensitive Prostate Cancer (mCSPC)	Metastatic Castration-sensitive Prostate Cancer	6150 - Murdoch; Auckland; 6008 - Subiaco; Christchurch; 4101 - South Brisbane; 7000 - Hobart; 2010 - Darlinghurst; 4029 - Herston; 3000 - Melbourne; 2109 - North Ryde; Dunedin Central; 2170 - Liverpool; 5037 - Kurralta Park; 4575 - Birtinya; Tauranga	https://clinicaltrials.gov/ct2/show/NCT04497844
NCT04499924	MOUNTAINEER-02	Phase 2		NSW	2020-08-05	2021-03-22		Paclitaxel; Paclitaxel + Ramucirumab + Trastuzumab + Tucatinib; Placebo; Ramucirumab; Trastuzumab; Tucatinib	placebo; anti-VEGFR2_monoclonal_antibody; anti-ERBB2_monoclonal_antibody; taxane; ERBB2_inhibitor,third_generation + anti-ERBB2_monoclonal_antibody + anti-VEGFR2_monoclonal_antibody + taxane; ERBB2_inhibitor,third_generation	Paclitaxel + Ramucirumab + Trastuzumab + Tucatinib; Placebo	ERBB2_inhibitor,third_generation + anti-ERBB2_monoclonal_antibody + anti-VEGFR2_monoclonal_antibody + taxane; placebo	SGNTUC-022	A Randomized, Double-blind, Placebo-controlled, Active Comparator Phase 2/3 Study of Tucatinib in Combination With Trastuzumab, Ramucirumab, and Paclitaxel in Subjects With Previously Treated, Locally-advanced Unresectable or Metastatic HER2+ Gastric or Gastroesophageal Junction Adenocarcinoma (GEC)	Gastric Adenocarcinoma; Gastroesophageal Junction Adenocarcinoma; Esophageal Adenocarcinoma	63V6 63 - Heidelberg; 2250 - Gosford	https://clinicaltrials.gov/ct2/show/NCT04499924
NCT04501276	ADG116-1003	Phase 1		NSW, SA, VIC	2020-08-06	2020-09-23		ADG106; ADG106 + ADG116; ADG116; Toripalimab	anti-4-1BB_agonistic_antibody; anti-PD-1_monoclonal_antibody; anti-4-1BB_agonistic_antibody + anti-CTLA4_monoclonal_antibody; anti-CTLA4_monoclonal_antibody	ADG106 + ADG116; ADG116; Toripalimab	anti-4-1BB_agonistic_antibody + anti-CTLA4_monoclonal_antibody; anti-CTLA4_monoclonal_antibody; anti-PD-1_monoclonal_antibody	ADG116-1003	A Phase 1b/2, Open-Label, Dose Escalation and Expansion Study of ADG116, ADG116 Combined With Toripalimab (Anti-PD-1 Antibody), ADG116 Combined With ADG106 (Anti-CD137 Antibody) in Patients With Advanced/Metastatic Solid Tumors	Advanced/Metastatic Solid Tumors	- Kurralta Park; - Malvern; - Sydney	https://clinicaltrials.gov/ct2/show/NCT04501276
NCT04503278	2019-004323-20--BNT211-01	Phase 1		VIC	2020-08-07	2020-09-16		CLDN6 CAR-T; CLDN6 RNA-LPX	mRNA_vaccine,CLDN6-targeting; autologous_CAR-T-cell_therapy,CLDN6-targeting	CLDN6 CAR-T; CLDN6 RNA-LPX	autologous_CAR-T-cell_therapy,CLDN6-targeting; mRNA_vaccine,CLDN6-targeting	2019-004323-20  BNT211-01	Phase I/IIa, First-in-human (FIH), Open-label, Dose Escalation Trial With Expansion Cohorts to Evaluate Safety and Preliminary Efficacy of CLDN6 CAR-T With or Without CLDN6 RNA-LPX in Patients With CLDN6-positive Relapsed or Refractory Advanced Solid Tumors	Solid Tumor	3000 - Melbourne	https://clinicaltrials.gov/ct2/show/NCT04503278
NCT04505826	OP-1250-001	Phase 1		NSW, QLD, SA	2020-08-10	2020-08-13		Palazestrant	complete_estrogen_receptor_antagonist	Palazestrant	complete_estrogen_receptor_antagonist	OP-1250-001	A Phase I Dose Escalation and Dose Expansion and Phase II Monotherapy Open-label, First-in-Human, Multicenter Study of OP-1250 in Adult Subjects With Advanced and/or Metastatic Hormone Receptor (HR)-Positive, HER2-negative Breast Cancer	HER2-negative Breast Cancer; Hormone Receptor Positive Breast Carcinoma	2145 - Westmead; 4066 - Auchenflower; 2109 - Sydney; 5000 - Adelaide	https://clinicaltrials.gov/ct2/show/NCT04505826
NCT04516447	ZN-c3-002	Phase 1		QLD, SA, VIC, WA	2020-08-18	2020-10-26		Azenosertib; Azenosertib + Bevacizumab; Azenosertib + Carboplatin; Azenosertib + Gemcitabine; Azenosertib + Paclitaxel; Bevacizumab; Carboplatin; Gemcitabine; Paclitaxel; Pegylated liposomal doxorubicin	antimetabolite; WEE1_inhibitor + anti-VEGF_monoclonal_antibody; WEE1_inhibitor; gemcitabine; anti-VEGF_monoclonal_antibody; WEE1_inhibitor + antimetabolite; WEE1_inhibitor + platinum-based_antineoplastic_agent; anthracycline; taxane; WEE1_inhibitor + taxane; platinum-based_antineoplastic_agent	Azenosertib; Azenosertib + Bevacizumab; Azenosertib + Carboplatin; Azenosertib + Gemcitabine; Azenosertib + Paclitaxel; Pegylated liposomal doxorubicin	WEE1_inhibitor; WEE1_inhibitor + anti-VEGF_monoclonal_antibody; WEE1_inhibitor + antimetabolite; WEE1_inhibitor + platinum-based_antineoplastic_agent; WEE1_inhibitor + taxane; anthracycline; gemcitabine	ZN-c3-002	A Phase 1b Study of ZN-c3 in Combination With Chemotherapy or Bevacizumab in Subjects With Ovarian, Peritoneal, or Fallopian Tube Cancer	Fallopian Tube Cancer; Solid Tumor; Peritoneal Cancer; Epithelial Ovarian Cancer	4101 - South Brisbane; 4556 - Sunshine Coast; 6009 - Nedlands; 3144 - Melbourne; 5000 - Adelaide; 3121 - Melbourne	https://clinicaltrials.gov/ct2/show/NCT04516447
NCT04521686	2020-002863-77--18077	Phase 1		NSW	2020-08-20	2020-10-01		Cisplatin; Cisplatin + Durvalumab + Gemcitabine + LY3410738; Durvalumab; Gemcitabine; LY3410738	antimetabolite; anti-PD-L1_monoclonal_antibody; gemcitabine; platinum-based_antineoplastic_agent; IDH1_R132_inhibitor,covalent + anti-PD-L1_monoclonal_antibody + antimetabolite + platinum-based_antineoplastic_agent; IDH1_R132_inhibitor,covalent	Cisplatin + Durvalumab + Gemcitabine + LY3410738; LY3410738	IDH1_R132_inhibitor,covalent; IDH1_R132_inhibitor,covalent + anti-PD-L1_monoclonal_antibody + antimetabolite + platinum-based_antineoplastic_agent; gemcitabine	2020-002863-77  18077	A Phase 1 Study of LY3410738 Administered to Patients With Advanced Solid Tumors With IDH1 or IDH2 Mutations	Cholangiocarcinoma; Glioma; Any Solid Tumor; Chondrosarcoma	2010 - Darlinghurst	https://clinicaltrials.gov/ct2/show/NCT04521686
